iteration,reward
0,-1286.962762364312
1,-1798.1232856389709
2,-1475.7069927618395
3,-1352.4768833682504
4,-1173.2163611218311
5,-1330.8672225870553
6,-1160.8041706965519
7,-862.6244343215606
8,-1348.283137210872
9,-970.0867411011452
10,-1607.912048354531
11,-1263.3276103068217
12,-749.1292950856164
13,-969.3033200977582
14,-627.301294547806
15,-504.2863253735536
16,-1069.6294157172897
17,-861.8675414204382
18,-1082.1376889181554
19,-1004.0808078263982
20,-1522.5001642038362
21,-1033.4404980268432
22,-1291.4542638196258
23,-1348.1666991941174
24,-1077.5609132380782
25,-1248.6065016091263
26,-1319.5109280073386
27,-1711.1787098270652
28,-1416.3729487730004
29,-640.6515772070388
30,-1839.4456712734006
31,-1209.6912736462873
32,-1516.1424738020726
33,-1334.4405819874012
34,-497.96579842880766
35,-1073.1168462649866
36,-871.7466337625413
37,-1511.8427314271792
38,-1308.5997392408162
39,-1802.3688785353795
40,-1526.778655844004
41,-1070.3410015879806
42,-1586.4085397841463
43,-1579.2205363367557
44,-1548.1206727496399
45,-963.5428932785718
46,-1748.100400900398
47,-1090.33744473414
48,-1165.6428590837643
49,-1352.8798265402775
50,-1083.9079235429779
51,-1435.0378980180628
52,-1638.837495318154
53,-1436.5599079180301
54,-1276.6050185656977
55,-967.7248252145223
56,-1161.2142566134964
57,-1167.452421610094
58,-682.8664078543043
59,-1717.3169288618915
60,-1376.72594926059
61,-1190.221140205463
62,-629.7168172121173
63,-1070.2052840896479
64,-1104.4602194742122
65,-1126.0563884670576
66,-1640.1527773273108
67,-1918.3130216940394
68,-1544.5305051852447
69,-1273.5934087811254
70,-770.1250512132026
71,-1248.9324471560133
72,-1129.6240517301726
73,-1341.7452725748738
74,-1709.5404554064214
75,-1319.0816080606219
76,-1200.932549424088
77,-748.2373536811075
78,-1190.819332346841
79,-1242.0203438448477
80,-506.3523303992061
81,-914.6397382598175
82,-1264.3521632696386
83,-1198.388633297837
84,-1373.7025234538585
85,-970.0963380382109
86,-1671.3299652873873
87,-1163.359365009942
88,-1328.1632709038101
89,-1586.2390783151632
90,-1070.0112320603632
91,-1180.0268703005802
92,-1024.3353182735827
93,-1265.6801407113744
94,-1068.04781439707
95,-1555.4041559510358
96,-976.8003595795088
97,-1818.1552425903092
98,-864.0379784178408
99,-1679.8728528342504
